,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,426565.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,200.0,5.0,52.0,29-APR-22,5.0,2761.75,14.0,11048210.0,0.31,57404.4,46.49,212361.0,2788.09,,958951.64,DIVIDEND - RS 7 PER SHARE,2787.6,03-Jun-2022 00:00:00,2787.7,2856.15,2779.5,,2016.25,2787.5,2787.55,14-JUN-21,5136072.0,2787.45,No Band,3.5,28-JUL-21,12.23,2788.0,2788.05,2058915.0,2788.4,2788.45,2788.5,8.5,,,28.0,False,14.0,12.0,198.0,EQ,10.0,2.0,0.0,2780.0,INE002A01018,2788.0
1,3784.15,TCS,13.04,,117604.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,150.0,2.0,24.0,17-JAN-22,21.0,3380.0,145.0,1913622.0,-1.37,7099.95,58.36,101968.0,3399.17,,356308.16,DIVIDEND - RS 22 PER SHARE,3393.0,03-Jun-2022 00:00:00,3393.05,4043.0,3440.15,,3122.65,3392.55,3392.6,26-MAY-22,1116753.0,3392.5,No Band,3.5,03-JUN-21,9.54,3393.35,3393.4,208873.0,3393.45,3393.6,3393.65,-47.10,,,2.0,False,25.0,85.0,5.0,EQ,1.0,1.0,0.0,3418.0,INE467B01029,3393.05
2,2505.05,HDFC,16.49,,115793.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,250.0,94.0,17.0,15-NOV-21,106.0,2256.05,41.0,2975522.0,0.04,8108.15,67.26,133307.0,2270.42,,412024.09,DIVIDEND - RS 30 PER SHARE,2277.5,03-Jun-2022 00:00:00,2277.55,3021.1,2277.35,,2046.0,2277.3,2277.35,01-JUN-22,2001189.0,2277.25,No Band,3.5,08-MAR-22,12.99,2278.35,2278.45,357121.0,2278.5,2278.6,2278.65,0.9,,,12.0,False,88.0,10.0,11.0,EQ,2.0,4.0,0.0,2257.0,INE001A01036,2278.25
3,523.05,WIPRO,15.7,,576996.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,1078.0,378.0,716.0,14-OCT-21,3106.0,464.2,336.0,11634889.0,-1.79,7297.68,41.37,544348.0,467.15,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,466.85,03-Jun-2022 00:00:00,466.95,739.85,475.5,,443.2,466.75,466.8,06-APR-22,4813606.0,466.7,No Band,3.5,25-MAY-22,12.2,467.0,467.1,1562171.0,467.15,467.2,467.25,-8.50,,,2521.0,False,890.0,235.0,49.0,EQ,2.0,6407.0,0.0,472.0,INE075A01022,467.0
4,299.95,ITC,13.96,,1660975.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,4069.0,976.0,1501.0,20-MAY-22,1640.0,269.7,885.0,12487862.0,-0.57,4250.47,45.97,1146054.0,270.96,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.1,03-Jun-2022 00:00:00,271.15,282.35,272.7,,200.9,271.0,271.05,28-MAY-22,5740186.0,270.95,No Band,3.5,09-JUL-21,10.46,271.2,271.25,1568669.0,271.3,271.35,271.4,-1.55,,,3570.0,False,3757.0,667.0,391.0,EQ,1.0,5907.0,0.0,272.4,INE154A01025,271.15
5,166.75,ONGC,19.63,,2029378.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,155.3,151.6,16.13,136.45,28629.0,30126.0,44486.0,08-MAR-22,18150.0,152.8,2709.0,16747177.0,1.52,16464.74,47.15,1661831.0,154.22,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,153.8,03-Jun-2022 00:00:00,153.85,194.95,151.6,,108.5,153.7,153.75,22-FEB-22,7895486.0,153.65,No Band,3.5,23-AUG-21,16.13,153.9,153.95,10676136.0,154.0,154.05,154.1,2.3,,,37910.0,False,19738.0,18252.0,7608.0,EQ,5.0,19817.0,0.0,153.1,INE213A01029,153.9
6,447.4,HINDALCO,21.46,23-AUG-21,722162.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.2,406.75,17.96,366.1,1222.0,1724.0,410.0,29-MAR-22,828.0,395.95,592.0,12229014.0,-0.77,10766.15,42.62,708405.0,401.44,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,403.5,03-Jun-2022 00:00:00,403.55,636.0,406.75,,359.8,403.4,403.45,,5211577.0,403.35,No Band,3.5,18-JUN-21,17.96,403.65,403.7,2681882.0,403.75,403.8,403.85,-3.15,,,1270.0,False,108.0,591.0,6.0,EQ,1.0,885.0,0.0,402.6,INE038A01020,403.6
7,170.5,NTPC,15.2,,1415686.0,,NTPC Limited,N,03-FEB-22,,Listed,157.85,155.0,11.7,139.5,26932.0,21284.0,9588.0,19-APR-22,4079.0,155.2,1004.0,14063328.0,1.35,6125.37,56.2,1343711.0,156.41,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,157.0,03-Jun-2022 00:00:00,157.05,166.35,155.0,,110.45,156.9,156.95,05-FEB-22,7903997.0,156.85,No Band,3.5,03-JUN-21,11.7,157.1,157.15,3916224.0,157.2,157.25,157.3,2.1,,,37000.0,False,8335.0,11031.0,723.0,EQ,10.0,14195.0,0.0,155.8,INE733E01010,157.1
8,130.1,IOC,15.19,,1678345.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,35991.0,21555.0,9531.0,09-NOV-21,4082.0,116.7,926.0,9043106.0,-0.97,2473.09,49.83,1892215.0,117.21,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.05,03-Jun-2022 00:00:00,117.1,141.5,118.3,,101.9,116.95,117.0,10-FEB-22,4506492.0,116.9,No Band,3.5,10-AUG-21,11.69,117.15,117.2,2109966.0,117.25,117.3,117.35,-1.15,,,30440.0,False,61199.0,13819.0,4116.0,EQ,10.0,39173.0,0.0,118.3,INE242A01010,117.15
9,1473.35,GRASIM,16.84,27-AUG-21,115533.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1339.9,1339.45,13.34,1205.55,9.0,37.0,53.0,18-JAN-22,12.0,1316.3,36.0,4810328.0,-0.42,7295.53,42.59,130566.0,1328.29,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1333.4,03-Jun-2022 00:00:00,1333.5,1929.8,1339.45,,1316.3,1333.2,1333.3,,2048563.0,1333.15,No Band,3.5,06-JUN-22,13.34,1333.85,1334.5,549242.0,1334.55,1334.7,1334.75,-5.60,,,7.0,False,446.0,379.0,110.0,EQ,2.0,11.0,0.0,1334.0,INE047A01021,1333.85
