,pricebandupper,symbol,applicableMargin,bcEndDate,totalSellQuantity,adhocMargin,companyName,marketType,exDate,bcStartDate,css_status_desc,dayHigh,basePrice,securityVar,pricebandlower,sellQuantity5,sellQuantity4,sellQuantity3,cm_adj_high_dt,sellQuantity2,dayLow,sellQuantity1,quantityTraded,pChange,totalTradedValue,deliveryToTradedQuantity,totalBuyQuantity,averagePrice,indexVar,cm_ffm,purpose,buyPrice2,secDate,buyPrice1,high52,previousClose,ndEndDate,low52,buyPrice4,buyPrice3,recordDate,deliveryQuantity,buyPrice5,priceBand,extremeLossMargin,cm_adj_low_dt,varMargin,sellPrice1,sellPrice2,totalTradedVolume,sellPrice3,sellPrice4,sellPrice5,change,surv_indicator,ndStartDate,buyQuantity4,isExDateFlag,buyQuantity3,buyQuantity2,buyQuantity1,series,faceValue,buyQuantity5,closePrice,open,isinCode,lastPrice
0,3057.45,RELIANCE,15.73,,431336.0,,Reliance Industries Limited,N,11-JUN-21,,Listed,2814.0,2779.5,12.23,2501.55,32.0,71.0,59.0,29-APR-22,43.0,2761.75,204.0,11048210.0,0.52,58194.64,46.49,226293.0,2788.14,,958951.64,DIVIDEND - RS 7 PER SHARE,2792.75,03-Jun-2022 00:00:00,2792.8,2856.15,2779.5,,2016.25,2792.65,2792.7,14-JUN-21,5136072.0,2792.6,No Band,3.5,28-JUL-21,12.23,2794.0,2794.1,2087221.0,2794.25,2794.4,2794.45,14.5,,,8.0,False,104.0,8.0,27.0,EQ,10.0,80.0,0.0,2780.0,INE002A01018,2794.0
1,3784.15,TCS,13.04,,117604.0,,Tata Consultancy Services Limited,N,25-MAY-22,,Listed,3430.0,3440.15,9.54,3096.15,150.0,2.0,24.0,17-JAN-22,21.0,3380.0,145.0,1913622.0,-1.37,7099.95,58.36,101968.0,3399.17,,356308.16,DIVIDEND - RS 22 PER SHARE,3393.0,03-Jun-2022 00:00:00,3393.05,4043.0,3440.15,,3122.65,3392.55,3392.6,26-MAY-22,1116753.0,3392.5,No Band,3.5,03-JUN-21,9.54,3393.35,3393.4,208873.0,3393.45,3393.6,3393.65,-47.10,,,2.0,False,25.0,85.0,5.0,EQ,1.0,1.0,0.0,3418.0,INE467B01029,3393.05
2,2505.05,HDFC,16.49,,117810.0,,Housing Development Finance Corporation Limited,N,31-MAY-22,,Listed,2287.0,2277.35,12.99,2049.65,151.0,5.0,50.0,15-NOV-21,57.0,2256.05,269.0,2975522.0,0.08,8235.47,67.26,132197.0,2270.57,,412024.09,DIVIDEND - RS 30 PER SHARE,2279.15,03-Jun-2022 00:00:00,2279.2,3021.1,2277.35,,2046.0,2279.05,2279.1,01-JUN-22,2001189.0,2279.0,No Band,3.5,08-MAR-22,12.99,2279.25,2279.5,362705.0,2279.85,2279.9,2280.0,1.85,,,1.0,False,1.0,49.0,151.0,EQ,2.0,56.0,0.0,2257.0,INE001A01036,2279.2
3,523.05,WIPRO,15.7,,574221.0,,Wipro Limited,N,05-APR-22,,Listed,472.0,475.5,12.2,427.95,282.0,1523.0,3124.0,14-OCT-21,2.0,464.2,1.0,11634889.0,-1.79,7430.19,41.37,546506.0,467.15,,70381.56,INTERIM DIVIDEND - RS 5 PER SHARE,466.9,03-Jun-2022 00:00:00,466.95,739.85,475.5,,443.2,466.8,466.85,06-APR-22,4813606.0,466.75,No Band,3.5,25-MAY-22,12.2,467.0,467.05,1590536.0,467.1,467.15,467.2,-8.50,,,4794.0,False,617.0,2404.0,48.0,EQ,2.0,353.0,0.0,472.0,INE075A01022,467.0
4,299.95,ITC,13.96,,1660975.0,,ITC Limited,N,26-MAY-22,,Listed,272.9,272.7,10.46,245.45,4069.0,976.0,1501.0,20-MAY-22,1640.0,269.7,885.0,12487862.0,-0.57,4250.47,45.97,1146054.0,270.96,,238599.18,DIVIDEND - RS 6.25 PER SHARE,271.1,03-Jun-2022 00:00:00,271.15,282.35,272.7,,200.9,271.0,271.05,28-MAY-22,5740186.0,270.95,No Band,3.5,09-JUL-21,10.46,271.2,271.25,1568669.0,271.3,271.35,271.4,-1.55,,,3570.0,False,3757.0,667.0,391.0,EQ,1.0,5907.0,0.0,272.4,INE154A01025,271.15
5,166.75,ONGC,19.63,,2031349.0,,Oil & Natural Gas Corporation Limited,N,21-FEB-22,,Listed,155.3,151.6,16.13,136.45,25133.0,58985.0,30181.0,08-MAR-22,9137.0,152.8,4658.0,16747177.0,1.45,17167.72,47.15,1608201.0,154.2,,55307.94,INTERIM DIVIDEND - RS 1.75 PER SHARE,153.75,03-Jun-2022 00:00:00,153.8,194.95,151.6,,108.5,153.65,153.7,22-FEB-22,7895486.0,153.6,No Band,3.5,23-AUG-21,16.13,153.85,153.9,11133414.0,153.95,154.0,154.05,2.2,,,16924.0,False,30254.0,4927.0,190.0,EQ,5.0,39052.0,0.0,153.1,INE213A01029,153.8
6,447.4,HINDALCO,21.46,23-AUG-21,714838.0,,Hindalco Industries Limited,N,12-AUG-21,17-AUG-21,Listed,406.2,406.75,17.96,366.1,2319.0,10332.0,476.0,29-MAR-22,4415.0,395.95,127.0,12229014.0,-0.53,10979.81,42.62,745078.0,401.49,,59412.44,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,404.6,03-Jun-2022 00:00:00,404.65,636.0,406.75,,359.8,404.5,404.55,,5211577.0,404.45,No Band,3.5,18-JUN-21,17.96,404.75,404.8,2734766.0,404.85,404.9,404.95,-2.15,,,3227.0,False,2363.0,1641.0,548.0,EQ,1.0,3911.0,0.0,402.6,INE038A01020,404.6
7,170.5,NTPC,15.2,,1368394.0,,NTPC Limited,N,03-FEB-22,,Listed,157.85,155.0,11.7,139.5,24088.0,26484.0,17909.0,19-APR-22,8072.0,155.2,2531.0,14063328.0,1.65,6464.83,56.2,1461664.0,156.46,,73646.18,INTERIM DIVIDEND - RS 4 PER SHARE,157.45,03-Jun-2022 00:00:00,157.5,166.35,155.0,,110.45,157.35,157.4,05-FEB-22,7903997.0,157.3,No Band,3.5,03-JUN-21,11.7,157.6,157.65,4131937.0,157.7,157.75,157.8,2.55,,,16536.0,False,16871.0,9788.0,4531.0,EQ,10.0,27668.0,0.0,155.8,INE733E01010,157.55
8,130.1,IOC,15.19,,1673305.0,,Indian Oil Corporation Limited,N,09-FEB-22,,Listed,118.6,118.3,11.69,106.5,35598.0,33064.0,35311.0,09-NOV-21,14397.0,116.7,20448.0,9043106.0,-0.85,2509.43,49.83,1899096.0,117.21,,30069.77,INTERIM DIVIDEND - RS  4 PER SHARE,117.2,03-Jun-2022 00:00:00,117.25,141.5,118.3,,101.9,117.1,117.15,10-FEB-22,4506492.0,117.05,No Band,3.5,10-AUG-21,11.69,117.3,117.35,2140969.0,117.4,117.45,117.5,-1.00,,,25098.0,False,11556.0,5241.0,543.0,EQ,10.0,29276.0,0.0,118.3,INE242A01010,117.3
9,1473.35,GRASIM,16.84,27-AUG-21,116202.0,,Grasim Industries Limited,N,12-AUG-21,14-AUG-21,Listed,1339.9,1339.45,13.34,1205.55,7.0,32.0,50.0,18-JAN-22,2.0,1316.3,41.0,4810328.0,-0.44,7480.33,42.59,129313.0,1328.41,,50259.97,ANNUAL GENERAL MEETING/DIVIDEND - RS 5  PER SHARE/ SPECIAL DIVIDEND - RS 4 PER SHARE,1333.35,03-Jun-2022 00:00:00,1333.4,1929.8,1339.45,,1316.3,1333.15,1333.2,,2048563.0,1333.1,No Band,3.5,06-JUN-22,13.34,1334.0,1334.25,563104.0,1334.3,1334.45,1334.5,-5.95,,,58.0,False,14.0,76.0,73.0,EQ,2.0,32.0,0.0,1334.0,INE047A01021,1333.5
